Company Name,Current Price,Change in price,Open price,Close Price,Upper Circuit,Lower Circuit,Volume,VWAP,Market Cap,Average Vol20,Average Delivery,Face Value,TTM EPS,TTM PE,Sector PE,Book Value
Precision Camshafts Ltd. ,42.40,-0.75 (-1.74%),43.55,43.15,51.75,34.55,"66,209.00",43.08,403,"232,235","133,039",10.00,2.32,18.28,29.92,68.46
Tata Consultancy Services Ltd. ,3130.00,-66.55 (-2.08%),"3,210.05","3,196.55","3,516.20","2,876.90","5,419,171.00","3,143.06","1,174,815","4,164,035","1,537,704",1.00,83.24,37.61,32.75,225.85
Infosys Ltd. ,1239.05,-37.15 (-2.91%),"1,286.25","1,276.20","1,403.80","1,148.60","12,183,291.00","1,253.28","527,784","10,098,080","4,065,374",5.00,43.66,28.38,32.75,154.60
HCL Technologies Ltd. ,914.00,-19.95 (-2.14%),941.00,933.95,"1,027.30",840.60,"7,690,224.00",927.73,"248,029","8,356,023","2,519,446",2.00,48.70,18.77,32.75,189.49
IDFC First Bank  Ltd. ,47.10,-0.80 (-1.67%),48.50,47.90,52.65,43.15,"41,641,038.00",47.86,"26,719","63,566,150","12,909,314",10.00,--,--,34.48,28.67
MRF Ltd. ,84069.15,"-3,418.55 (-3.91%)","88,499.10","87,487.70","96,236.45","78,738.95","56,227.00","86,527.45","35,655","49,585","5,523",10.00,"3,170.65",26.51,27.01,"28,800.82"
State Bank of India ,282.10,-0.25 (-0.09%),285.60,282.35,310.55,254.15,"42,278,839.00",283.47,"251,763","38,255,733","9,113,615",1.00,26.29,10.73,20.38,263.59
Indian Railway Finance Corporation Ltd. ,24.80,-1.20 (-4.62%),24.90,26.00,29.85,19.95,"381,713,533.00",25.07,"32,410",0,--,10.00,--,--,5.26,--
Sun Pharmaceutical Industries Ltd. ,586.20,21.85 (3.87%),568.00,564.35,620.75,507.95,"22,539,938.00",579.58,"140,649","7,448,320","1,955,417",1.00,6.96,84.22,38.62,204.74
Kotak Mahindra Bank Ltd. ,1712.95,-9.90 (-0.57%),"1,749.85","1,722.85","1,895.10","1,550.60","5,140,687.00","1,723.60","339,334","4,296,518","2,027,217",5.00,46.98,36.46,34.48,373.94
Precision Camshafts Ltd. ,42.40,-0.75 (-1.74%),43.55,43.15,51.75,34.55,"66,209.00",43.08,403,"232,235","133,039",10.00,2.32,18.28,29.92,68.46
Tata Motors Ltd. ,262.70,-4.10 (-1.54%),273.00,266.80,293.45,240.15,"138,374,378.00",270.74,"81,147","151,067,764","13,504,214",2.00,--,--,50.57,203.70
Yes Bank Ltd. ,15.75,0.70 (4.65%),15.10,15.05,15.80,14.30,"183,013,493.00",15.52,"39,461","207,129,717","77,255,729",2.00,1.18,13.35,34.48,14.65
Reliance Industries Ltd. ,1845.00,-31.55 (-1.68%),"1,894.30","1,876.55","2,064.20","1,688.90","19,954,719.00","1,872.01","1,189,120","14,427,246","5,232,465",10.00,65.55,28.15,36.68,736.42
Bank Of Baroda ,68.05,1.30 (1.95%),67.95,66.75,73.40,60.10,"72,824,052.00",68.00,"31,443","56,938,843","7,475,798",2.00,5.95,11.44,20.38,165.54
IDBI Bank Ltd. ,27.85,-0.45 (-1.59%),28.90,28.30,33.95,22.65,"11,965,400.00",28.09,"29,945","11,847,276","5,954,245",10.00,--,--,20.38,27.78
IDFC First Bank  Ltd. ,47.10,-0.80 (-1.67%),48.50,47.90,52.65,43.15,"41,641,038.00",47.86,"26,719","63,566,150","12,909,314",10.00,--,--,34.48,28.67
Bank Of India ,49.80,1.25 (2.57%),49.00,48.55,58.25,38.85,"4,690,747.00",49.86,"16,319","5,865,918","1,321,832",10.00,--,--,20.38,118.56
UCO Bank ,12.90,0.15 (1.18%),12.85,12.75,15.30,10.20,"3,566,547.00",12.92,"12,795","3,486,407","1,114,801",10.00,--,--,20.38,--
HDFC Bank Ltd. ,1390.50,19.05 (1.39%),"1,391.35","1,371.45","1,508.55","1,234.35","14,351,493.00","1,388.20","766,053","9,996,519","4,178,622",1.00,55.69,24.97,34.48,321.17
Indian Railway Finance Corporation Ltd. ,24.80,-1.20 (-4.62%),24.90,26.00,29.85,19.95,"381,713,533.00",25.07,"32,410",0,--,10.00,--,--,5.26,--
Adani Green Energy Ltd. ,1004.90,-28.00 (-2.71%),"1,035.60","1,032.90","1,084.50",981.30,"1,497,461.00","1,011.19","157,168","955,754","485,710",10.00,0.07,"14,355.71",15.70,4.59
Torrent Power Ltd. ,308.80,2.90 (0.95%),308.00,305.90,336.45,275.35,"2,255,450.00",308.07,"14,841","1,557,993","435,324",10.00,14.94,20.67,15.70,191.20
